,Title,Artist,Nationality,Years,Decades,Country
106,"Sher-e-Bangla Nagar, Capital of Bangladesh, Dhaka, Bangladesh, Perspective of hostels",Louis I. Kahn,(American),1967,1960,America
107,"Salk Institute for Biological Studies (laboratory, meeting house, and housing), La Jolla, California (Elevation of meeting house)",Louis I. Kahn,(American),1964,1960,America
108,"Sher-e-Bangla Nagar, Capital of Bangladesh, Dhaka, Bangladesh, Sketch of light elements for hostels",Louis I. Kahn,(American),1967,1960,America
109,"Salk Institute for Biological Studies (laboratory, meeting house, and housing), La Jolla, California (Two elevations of meeting house)",Louis I. Kahn,(American),1964,1960,America
110,"Indian Institute of Management, Ahmedabad, India, Plan sketches of clssroom building",Louis I. Kahn,(American),1967,1960,America
111,"Salk Institute for Biological Studies (laboratory, meeting house, and housing), La Jolla, California (Elevation of laboratory)",Louis I. Kahn,(American),1964,1960,America
112,"Indian Institute of Management, Ahmedabad, India, Plan and elevation sketches of classroom building",Louis I. Kahn,(American),1967,1960,America
113,"Salk Institute for Biological Studies (laboratory, meeting house, and housing), La Jolla, California, (Elevation of laboratory)",Louis I. Kahn,(American),1964,1960,America
114,"Indian Institute of Management, Ahmedabad, India, Plan and elevation sketches of classroom building",Louis I. Kahn,(American),1967,1960,America
115,"Salk Institute for Biological Studies (laboratory, meeting house, and housing), La Jolla, California (Elevation of laboratory)",Louis I. Kahn,(American),1964,1960,America
116,"Indian Institute of Managementm, Ahmedabad, India, Plan sketch of classroom building",Louis I. Kahn,(American),1967,1960,America
117,"Salk Institute for Biological Studies, La Jolla, California (Elevation of Laboratory and Meeting House)",Louis I. Kahn,(American),1964,1960,America
118,"Indian Institute of Management, Ahmedabad, India, Plan and elevation sketches of classroom building and dormitory",Louis I. Kahn,(American),1967,1960,America
119,"Indian Institute of Management, Ahmedabad, India, Plan sketch of classroom building",Louis I. Kahn,(American),1964,1960,America
120,"Indian Institute of Management, Ahmedabad, India, Elevation sketch of House",Louis I. Kahn,(American),1967,1960,America
121,"Indian Institute of Management, Ahmedabad, India, Plan and elevation sketches of dormitory",Louis I. Kahn,(American),1967,1960,America
122,"Indian Institute of Management, Ahmedabad, India, Perspective drawing of dormitories",Louis I. Kahn,(American),1967,1960,America
123,"Philadelphia College of Art, project, Philadelphia, Pennsylvania, Elevation sketch",Louis I. Kahn,(American),1967,1960,America
124,"Philadelphia College of Art, project, Philadelphia, Pennsylvania, Site-plan and elevation sketches",Louis I. Kahn,(American),1967,1960,America
125,"Philadelphia College of Art, project, Philadelphia, Pennsylvania, Section sketch of studios",Louis I. Kahn,(American),1967,1960,America
126,"Philadelphia College of Art, Project, Philadelphia, Pennsylvania, Site-plan sketch",Louis I. Kahn,(American),1967,1960,America
127,"Philadelphia College of Art, project, Philadelphia, Pennsylvania, Elevation sketches of library tower",Louis I. Kahn,(American),1967,1960,America
128,Beach House Project (Aerial perspective),Hans Hollein,(Austrian),1967,1960,Other
129,"Urban Renewal in New York Project, New York, New York, Aerial perspective",Hans Hollein,(Austrian),1967,1960,Other
130,"Aircraft Carrier City in Landscape, project, Exterior perspective",Hans Hollein,(Austrian),1967,1960,Other
131,"Aircraft Carrier City in Landscape, project, Perspective",Hans Hollein,(Austrian),1967,1960,Other
132,"Aircraft Carrier in Landscape, project, Section",Hans Hollein,(Austrian),1967,1960,Other
133,"Aircraft Carrier City in Landscape, project, Aerial perspective",Hans Hollein,(Austrian),1967,1960,Other
134,"Highrise Building, Sparkplug, project (Exterior perspective)",Hans Hollein,(Austrian),1967,1960,Other
135,"Highrise Building, Theodolite, project, Perspective",Hans Hollein,(Austrian),1967,1960,Other
136,"Row House with Interior Court, project (Interior perspective of living room toward court)",Ludwig Mies van der Rohe,(American),1964,1960,America
137,"Court House Project, Interior perspective",Ludwig Mies van der Rohe,(American),1964,1960,America
138,"Monument to Victims of the Holocaust, project, Exterior perspective",Hans Hollein,(Austrian),1963,1960,Other
139,"Building Form Studies, project, Perspectives",Hans Hollein,(Austrian),1963,1960,Other
140,"Underground Building, project (Isometric)",Walter Pichler,(Austrian),1963,1960,Other
141,"Entrance to an Underground City, project (Perspective)",Walter Pichler,(Austrian),1963,1960,Other
142,"Nucleus of an Underground Building, project, Perspective",Walter Pichler,(Austrian),1963,1960,Other
143,"Nucleus of an Underground Building, project, Perspective",Walter Pichler,(Austrian),1963,1960,Other
144,Concert Hall project (Interior perspective),Ludwig Mies van der Rohe,(American),1963,1960,America
145,"Convention Hall Project, Chicago, Illinois (Preliminary version: interior perspective)",Ludwig Mies van der Rohe,(American),1963,1960,America
146,House with Three Courts project (Plan),Ludwig Mies van der Rohe,(American),1963,1960,America
147,House with Three Courts project (Interior perspective),Ludwig Mies van der Rohe,(American),1963,1960,America
148,Courthouse Interior:  5 Perspective Sketches,Ludwig Mies van der Rohe,(American),1963,1960,America
149,Courthouse Interior: Perspective Sketch,Ludwig Mies van der Rohe,(American),1963,1960,America
150,Court House project (Elevation),Ludwig Mies van der Rohe,(American),1963,1960,America
151,"Court House Project, Exterior sketches: elevation, two perspectives, and aerial perspective",Ludwig Mies van der Rohe,(American),1963,1960,America
152,Court House project (Two perspectives),Ludwig Mies van der Rohe,(American),1963,1960,America
153,Court House project (Aerial perspective),Ludwig Mies van der Rohe,(American),1963,1960,America
154,Row House with Interior Court project (Interior perspective),Ludwig Mies van der Rohe,(American),1963,1960,America
155,Court House Project (Interior perspective),Ludwig Mies van der Rohe,(American),1963,1960,America
156,"Row House with Interior Court, project (Interior perspective)",Ludwig Mies van der Rohe,(American),1963,1960,America
157,"Court House, project, Interior perspective",Ludwig Mies van der Rohe,(American),1963,1960,America
158,"Gericke House Project, Berlin-Wannsee, Germany, Plan of upper floor,",Ludwig Mies van der Rohe,(American),1963,1960,America
159,"Gericke House Project, Wannsee-Berlin, Germany, Main floor plan",Ludwig Mies van der Rohe,(American),1963,1960,America
160,"Gericke House Project, Wannsee-Berlin, Germany, Perspective of street facade",Ludwig Mies van der Rohe,(American),1963,1960,America
161,"Gericke House Project, Berlin-Wannsee, Germany (Perspective of garden)",Ludwig Mies van der Rohe,(American),1963,1960,America
