,Title,Artist,Nationality,Years,Decades,Country
15855,Interior (Das Interieur),Gabriele Münter,(German),1969,1960,Germany
15856,Monroe Wheeler,Pavel Tchelitchew,(American),1969,1960,America
15857,Watchers,Lynn Chadwick,(British),1969,1960,England
15858,Continuous Drawings #5 (3 Parts),David Diao,(American),1969,1960,America
15859,Portrait of Violinist Carlo von Rust (Bildnis des Geigers Carlo von Rust),Otto Dix,(German),1969,1960,Germany
15860,Untitled,Charles Fahlen,(American),1969,1960,America
15861,"Norway Series, #20, Telemark",Thomas George,(American),1969,1960,America
15862,No title,Eva Hesse,(American),1969,1960,America
15863,Untitled,Risaburo Kimura,(Japanese),1969,1960,Other
15864,Plan for Wall Drawing,Sol LeWitt,(American),1969,1960,America
15865,Hanging Man,Linda Lindeberg,(American),1969,1960,America
15866,Announcement Project,Richard Smith,(British),1969,1960,England
15867,Slanting Red Nose,Alexander Calder,(American),1969,1960,America
15868,Untitled,Alexander Calder,(American),1969,1960,America
15869,Untitled,Alexander Calder,(American),1969,1960,America
15870,Untitled,Alexander Calder,(American),1969,1960,America
15871,Arc,Peter Hutchinson,(British),1969,1960,England
15872,Highway 20,Dennis Oppenheim,(American),1969,1960,America
15873,The Great Impossible,Kay Sage,(American),1964,1960,America
15874,Costume design for the opera Sadko,Alexandre Benois,(Russian),1964,1960,Other
15875,"Rite of Spring, costume design for the ballet",Sidney Nolan,(Australian),1964,1960,Other
15876,Rite of Spring: Costume design for the ballet,Sidney Nolan,(Australian),1964,1960,Other
15877,Rite of Spring: Costume design for the ballet,Sidney Nolan,(Australian),1964,1960,Other
15878,"Rite of Spring, decor study for the ballet",Sidney Nolan,(Australian),1964,1960,Other
15879,Rite of Spring: Decor study for the ballet,Sidney Nolan,(Australian),1964,1960,Other
15880,Rite of Spring: Decor study for the ballet,Sidney Nolan,(Australian),1964,1960,Other
15881,Sailor: Costume Design,Pavel Tchelitchew,(American),1964,1960,America
15882,Stele,Rodolfo Abularach,(Guatemalan),1964,1960,Other
15883,"Inventions, IX",James McGarrell,(American),1964,1960,America
15884,Mirror and Shadow,Maria Reuter,(German),1964,1960,Germany
15885,Sketchbook,Paul Delvaux,(Belgian),1964,1960,Other
15886,Field Grasses,Lily Cushing,(American),1964,1960,America
15887,Early Morning in Ro... (Früher Morgen in Ro...),Paul Klee,(German),1964,1960,Germany
15888,"Colored Moss, IV",Augusto Giacometti,(Swiss),1968,1960,Other
15889,Color Abstraction II,Augusto Giacometti,(Swiss),1968,1960,Other
15890,Collage,Joan Miró,(Spanish),1968,1960,Spain
15891,"""M'Amenez-y""",Francis Picabia,(French),1968,1960,France
15892,White Package,Claudio Bravo,(Chilean),1968,1960,Other
15893,Mme Arthur Dubuffet,Jean Dubuffet,(French),1968,1960,France
15894,Beach with Bathers (Plage aux baigneurs),Jean Dubuffet,(French),1968,1960,France
15895,Epidermis (Épiderme),Jean Dubuffet,(French),1968,1960,France
15896,Street and Sidewalk,Jean Dubuffet,(French),1968,1960,France
15897,Cyclist with Five Cows,Jean Dubuffet,(French),1968,1960,France
15898,Pollination of Palm Trees (Fécondation des palmiers),Jean Dubuffet,(French),1968,1960,France
15899,Baba Solstice,Jean Dubuffet,(French),1968,1960,France
15900,"Two Automobiles: Ford, Citroen",Jean Dubuffet,(French),1968,1960,France
15901,Meal for Four III,Jean Dubuffet,(French),1968,1960,France
15902,Algebra of Uncertainty,Jean Dubuffet,(French),1968,1960,France
15903,Typewriter III,Jean Dubuffet,(French),1968,1960,France
15904,Verbal Agreement: Six Figures,Jean Dubuffet,(French),1968,1960,France
15905,Villa 4,Jean Dubuffet,(French),1968,1960,France
15906,Stairs III,Jean Dubuffet,(French),1968,1960,France
15907,"Sketchbook: El Golea, II",Jean Dubuffet,(French),1968,1960,France
15908,Untitled,Zbigniew Makowski,(Polish),1968,1960,Other
15909,Untitled,Zbigniew Makowski,(Polish),1968,1960,Other
15910,Cinema,Colin Self,(British),1968,1960,England
15911,Untitled,Hugh Townley,(American),1968,1960,America
15912,Composition,Léon H. Tutundjian,(Russian),1968,1960,Other
15913,PROJET CARNAVAL: L'ALIMENT BLANCCHAR NO. I(2EME VERSION). LA LARVE,Robert Malaval,(French),1968,1960,France
15914,"PROJET CARNAVAL: NO. 8 ""GRANDE MACHINE""CHAR D'ALIMENT BLANC AUTO-PLASTIQUE",Robert Malaval,(French),1968,1960,France
15915,Round Poetry (Runde Dichtung),Vasily Kandinsky,(French),1968,1960,France
15916,The End of the Last Act of a Drama (Schluss des letzten Aktes eines Dramas),Paul Klee,(German),1969,1960,Germany
15917,"Feathers, Shells, and Bones",Paul Cadmus,(American),1968,1960,America
15918,Glenway Wescott,Jean Cocteau,(French),1968,1960,France
15919,Bear with Angel,Joseph Cornell,(American),1968,1960,America
15920,Abstraction,Arshile Gorky,(American),1968,1960,America
15921,In the Manner of Matisse,Saul Steinberg,(American),1968,1960,America
15922,Ballet,James Thurber,(American),1968,1960,America
15923,Study for Homestead,Thomas Hart Benton,(American),1968,1960,America
15924,Sketchbook,John D. Graham,(American),1968,1960,America
15925,Sketchbook,John D. Graham,(American),1968,1960,America
15926,Sketchbook,John D. Graham,(American),1968,1960,America
15927,Sketchbook,John D. Graham,(American),1968,1960,America
15928,Sketchbook,John D. Graham,(American),1968,1960,America
15929,Sketchbook,John D. Graham,(American),1968,1960,America
15930,Sketchbook,John D. Graham,(American),1968,1960,America
15931,Sketchbook,John D. Graham,(American),1968,1960,America
15932,Sketchbook,John D. Graham,(American),1968,1960,America
15933,Sketchbook,John D. Graham,(American),1968,1960,America
15934,Sketchbook,John D. Graham,(American),1968,1960,America
15935,Sketchbook,John D. Graham,(American),1968,1960,America
15936,Sketchbook,John D. Graham,(American),1968,1960,America
15937,Sketchbook,John D. Graham,(American),1968,1960,America
15938,Sketchbook,John D. Graham,(American),1968,1960,America
15939,(Untitled),John D. Graham,(American),1968,1960,America
15940,Untitled,John D. Graham,(American),1968,1960,America
15941,Untitled,John D. Graham,(American),1968,1960,America
15942,Untitled,John D. Graham,(American),1968,1960,America
15943,Untitled,John D. Graham,(American),1968,1960,America
15944,Untitled,John D. Graham,(American),1968,1960,America
15945,Standing female nude (Untitled),John D. Graham,(American),1968,1960,America
15946,Untitled,John D. Graham,(American),1968,1960,America
15947,Untitled,John D. Graham,(American),1968,1960,America
15948,Untitled,John D. Graham,(American),1968,1960,America
15949,Untitled,John D. Graham,(American),1968,1960,America
15950,Untitled,John D. Graham,(American),1968,1960,America
15951,Untitled (Woman's Head),John D. Graham,(American),1968,1960,America
15952,Untitled,John D. Graham,(American),1968,1960,America
15953,Untitled,John D. Graham,(American),1968,1960,America
15954,Untitled,John D. Graham,(American),1968,1960,America
15955,Untitled,John D. Graham,(American),1968,1960,America
15956,Untitled,John D. Graham,(American),1968,1960,America
15957,Untitled,John D. Graham,(American),1968,1960,America
15958,Untitled,John D. Graham,(American),1968,1960,America
15959,Untitled,John D. Graham,(American),1968,1960,America
15960,Untitled,John D. Graham,(American),1968,1960,America
15961,Untitled,John D. Graham,(American),1968,1960,America
15962,Untitled,John D. Graham,(American),1968,1960,America
15963,Untitled,John D. Graham,(American),1968,1960,America
15964,Untitled,John D. Graham,(American),1968,1960,America
15965,Sketchbook,Unknown Artist,(American),1968,1960,America
15966,"Cirque Medrano, Clowns Poitu and Chocolat (Circus Medrano, Clowns Poitu et Chocolat)",George Grosz,(American),1968,1960,America
15967,The Reciter (Der Rezitator),Alfred Kubin,(Austrian),1968,1960,Other
15968,Study for Madeleine,Henri Matisse,(French),1968,1960,France
15969,Many,Alexander Calder,(American),1968,1960,America
15970,Yvonne Landsberg,Henri Matisse,(French),1968,1960,France
15971,Cargadores,José Milner Cajahuaringa,(Peruvian),1968,1960,Other
15972,Scarlet Moment,Mario Carreño,(Chilean),1968,1960,Other
15973,Estudio de Paris,Miguel Conde,(Mexican),1968,1960,Other
15974,Imaginary Landscape No. 11,Pedro Coronel,(Mexican),1968,1960,Other
15975,Untitled,Juan Downey,(Chilean),1968,1960,Other
15976,Study of a Dog,Christina Galvez,(Peruvian),1968,1960,Other
15977,WHO? VII,Rafael Hastings,(Peruvian),1968,1960,Other
15978,Untitled,Rodolfo Opazo,(Chilean),1968,1960,Other
15979,The Forest,Alfred Pohl,(German),1968,1960,Germany
15980,Dead Horse,Diego Rivera,(Mexican),1968,1960,Other
15981,Untitled,Francisco Toledo,(Mexican),1968,1960,Other
15982,Repose,Fernand Léger,(French),1969,1960,France
15983,"441 Barrels Structure - ""The Wall"" (Project for 53rd between 5th and 6th Avenues)",Christo,(American),1969,1960,America
15984,Facade,Jean Dubuffet,(French),1967,1960,France
15985,Red Amaryllis with Blue Background,Piet Mondrian,(Dutch),1967,1960,Other
15986,Study for The Laugh,Umberto Boccioni,(Italian),1967,1960,Other
15987,Study for The Laugh,Umberto Boccioni,(Italian),1967,1960,Other
15988,Study for Head,Julio González,(Spanish),1967,1960,Spain
15989,Study for Woman Combing Her Hair,Julio González,(Spanish),1967,1960,Spain
15990,The Solomon R. Guggenheim -- Architect's visual,Richard Hamilton,(British),1967,1960,England
15991,Studies for Sculpture,Olja Ivanjicki,(Yugoslav),1967,1960,Other
15992,Hometown Talent Show,Gladys Nilsson,(American),1967,1960,America
15993,Tooting Boys,Gladys Nilsson,(American),1967,1960,America
15994,Matinal,Helena (Mie Yuan Wong) Wong,(Brazilian),1967,1960,Other
15995,"Dropped Cup of Coffee: Preliminary study for ""Image of the Buddha Preaching"" by Frank O'Hara",Claes Oldenburg,(American),1967,1960,America
15996,The Painter in America,Horst Antes,(German),1967,1960,Germany
15997,Veiled Figure,Horst Antes,(German),1967,1960,Germany
15998,Untitled,Jan L. A. van Goethem,(Dutch),1967,1960,Other
15999,Gypsies in the City,Viaceslav Kalinin,(Russian),1967,1960,Other
16000,Palegraphic Composition,Dimitri Petrovich Plavinsky,(Russian),1967,1960,Other
16001,Hell,Juliusz Studnicki,(Polish),1967,1960,Other
16002,Music on the Terrace,Juliusz Studnicki,(Polish),1967,1960,Other
16003,Colin Macinnes,Peter Blake,(British),1967,1960,England
16004,Untitled,Bernard Cohen,(British),1967,1960,England
16005,Study for Woman Combing Her Hair,Julio González,(Spanish),1967,1960,Spain
16006,Sketchbook,John D. Graham,(American),1967,1960,America
16007,Sketchbook,John D. Graham,(American),1967,1960,America
16008,Sketchbook,John D. Graham,(American),1967,1960,America
16009,Sketchbook,John D. Graham,(American),1967,1960,America
16010,Sketchbook,John D. Graham,(American),1967,1960,America
16011,Sketchbook,John D. Graham,(American),1967,1960,America
16012,Sketchbook,John D. Graham,(American),1967,1960,America
16013,Patrick Procktor in New York,David Hockney,(British),1967,1960,England
16014,Polar Bear (Eisbär),Alfred Kubin,(Austrian),1967,1960,Other
16015,Untitled,Klaus Liebig,(German),1967,1960,Germany
16016,The Symbols,Rómulo Macció,(Argentine),1967,1960,Other
16017,Studies For Sculpture,Raymond Mason,(British),1967,1960,England
16018,Boulevard St. Michel,Raymond Mason,(British),1967,1960,England
16019,Untitled from the series Lyric Suite,Robert Motherwell,(American),1967,1960,America
16020,Untitled from the series Lyric Suite,Robert Motherwell,(American),1967,1960,America
16021,Untitled from the series Lyric Suite,Robert Motherwell,(American),1967,1960,America
16022,Untitled from the series Lyric Suite,Robert Motherwell,(American),1967,1960,America
16023,Untitled from the series Lyric Suite,Robert Motherwell,(American),1967,1960,America
16024,Untitled from the series Lyric Suite,Robert Motherwell,(American),1967,1960,America
16025,Untitled from the series Lyric Suite,Robert Motherwell,(American),1967,1960,America
16026,Untitled from the series Lyric Suite,Robert Motherwell,(American),1967,1960,America
16027,Untitled from the series Lyric Suite,Robert Motherwell,(American),1967,1960,America
16028,Untitled from the series Lyric Suite,Robert Motherwell,(American),1967,1960,America
16029,Untitled from the series Lyric Suite,Robert Motherwell,(American),1967,1960,America
16030,Untitled from the series Lyric Suite,Robert Motherwell,(American),1967,1960,America
16031,Experience,Eduardo Paolozzi,(British),1967,1960,England
16032,Parrot,Eduardo Paolozzi,(British),1967,1960,England
16033,"He Must, So To Speak, Throw Away The Ladder",Eduardo Paolozzi,(British),1967,1960,England
16034,Wittgenstein at the Cinema Admires Betty Hutton,Eduardo Paolozzi,(British),1967,1960,England
16035,Wittgenstein in N.Y.,Eduardo Paolozzi,(British),1967,1960,England
16036,Futurism at Lenabo,Eduardo Paolozzi,(British),1967,1960,England
16037,Wittgenstein as Soldier,Eduardo Paolozzi,(British),1967,1960,England
16038,Title Page,Eduardo Paolozzi,(British),1967,1960,England
16039,The Spirit of the Snake,Eduardo Paolozzi,(British),1967,1960,England
16040,Reality,Eduardo Paolozzi,(British),1967,1960,England
16041,Artificial Sun,Eduardo Paolozzi,(British),1967,1960,England
16042,Studies for Sculpture,William Pye,(British),1967,1960,England
16043,Untitled,Johan Bernhard Schweitz,(Nationality unknown),1967,1960,Unknown
16044,Untitled,Johan Bernhard Schweitz,(Nationality unknown),1967,1960,Unknown
16045,Untitled,Johan Bernhard Schweitz,(Nationality unknown),1967,1960,Unknown
16046,ORB #4,Sewell Sillman,(American),1967,1960,America
16047,#3,Sewell Sillman,(American),1967,1960,America
16048,The First of April,Stanley Spencer,(British),1967,1960,England
16049,In the Nursery,Stanley Spencer,(British),1967,1960,England
16050,Marguerite Singel,Joseph Stella,(American),1967,1960,America
16051,Composition,Joaquín Torres-García,(Uruguayan),1967,1960,Other
16052,Untitled,Vladimir Velickovic,(Yugoslav),1967,1960,Other
16053,Père Ubu: Polish Army,David Hockney,(British),1967,1960,England
16054,Gloriana: Gittern Player,John Piper,(British),1967,1960,England
16055,Mary Wigman,Paul Wunderlich,(German),1967,1960,Germany
16056,Woman in a Fur Coat and Tulip,Colin Self,(British),1967,1960,England
16057,Untitled,John D. Graham,(American),1967,1960,America
16058,Untitled,John D. Graham,(American),1967,1960,America
16059,Untitled,John D. Graham,(American),1967,1960,America
16060,Watched,Hannah Höch,(German),1967,1960,Germany
16061,Siegfried,Colin Lanceley,(Australian),1967,1960,Other
16062,Soft Trap,Colin Lanceley,(Australian),1967,1960,Other
16063,Cover design for The Enemy No. 1,Wyndham Lewis,(British),1967,1960,England
16064,"Ubu Roi, Cave Scene",David Hockney,(British),1967,1960,England
16065,"LE THEATRE LIBRE, PROGRAM FOR 7TH SPECTACLE",Henri-Gabriel Ibels,(French),1967,1960,France
16066,Study for Street Light,Giacomo Balla,(Italian),1967,1960,Other
16067,Study for Street Light,Giacomo Balla,(Italian),1967,1960,Other
16068,Study for Galaxy,Frederick Kiesler,(American),1967,1960,America
16069,Siesta at Djerba,Ben Shahn,(American),1967,1960,America
16070,Portrait of Glenway Wescott,Pavel Tchelitchew,(American),1967,1960,America
16071,George Platt Lynes,Pavel Tchelitchew,(American),1967,1960,America
16072,Tuileries Sanglier / d'apres l'antique,Eugène Atget,(French),1968,1960,France
16073,Sapin (Trianon),Eugène Atget,(French),1968,1960,France
16074,"Versailles, vase par Ballin",Eugène Atget,(French),1968,1960,France
16075,Facteur,Eugène Atget,(French),1968,1960,France
16076,Chiffonnier,Eugène Atget,(French),1968,1960,France
16077,Voiture Blanchisseuse,Eugène Atget,(French),1968,1960,France
16078,Marchand de paniers,Eugène Atget,(French),1968,1960,France
16079,Voiture. Équipage de Luxe,Eugène Atget,(French),1968,1960,France
16080,Porte de Montreuil,Eugène Atget,(French),1968,1960,France
16081,ST. CLOUD -- ACACIA,Eugène Atget,(French),1968,1960,France
16082,VERSAILLES -- LE CHÂTEAU,Eugène Atget,(French),1968,1960,France
16083,"Versailles, Vénus sortant du bain par Legros",Eugène Atget,(French),1968,1960,France
16084,Versailles. Porte Rue Gambetta,Eugène Atget,(French),1968,1960,France
16085,VERSAILLES -- VASE PAR CORNU,Eugène Atget,(French),1968,1960,France
16086,Clématites,Eugène Atget,(French),1968,1960,France
16087,Untitled (plant),Eugène Atget,(French),1968,1960,France
16088,Untitled,Eugène Atget,(French),1968,1960,France
16089,Limoges,Eugène Atget,(French),1968,1960,France
16090,"Passy, vieille maison, rue Raynouard 18",Eugène Atget,(French),1968,1960,France
16091,Untitled,Eugène Atget,(French),1968,1960,France
16092,Untitled,Eugène Atget,(French),1968,1960,France
16093,HÔTEL DE POITIERS 1775. RUE ST.-DOMINIQUE 3 ET 5,Eugène Atget,(French),1968,1960,France
16094,"Etang, Ville-d'Avray",Eugène Atget,(French),1968,1960,France
16095,"Versailles, vase par Ballin",Eugène Atget,(French),1968,1960,France
16096,ÉTANG DE VILLE D'AVRAY,Eugène Atget,(French),1968,1960,France
16097,Ville-d'Avray,Eugène Atget,(French),1968,1960,France
16098,Bords de la Vienne,Eugène Atget,(French),1968,1960,France
16099,Ville d'avray. Étang de Corot,Eugène Atget,(French),1968,1960,France
16100,Ville d'avray. Étang,Eugène Atget,(French),1968,1960,France
16101,VITRY -- VIEILLE RUE,Eugène Atget,(French),1968,1960,France
16102,PUITS À CLAMART,Eugène Atget,(French),1968,1960,France
16103,IVRY. ANCIEN PAVILLON DE CHASSE,Eugène Atget,(French),1968,1960,France
16104,IVRY. ANCIEN PAVILLON DE CHASSE,Eugène Atget,(French),1968,1960,France
16105,IVRY-SUR-SEINE. VIEUX LOGIS -- MAIRIE,Eugène Atget,(French),1968,1960,France
16106,Versailles -- Bassin de Neptune,Eugène Atget,(French),1968,1960,France
16107,"Clamart, église",Eugène Atget,(French),1968,1960,France
16108,"Saint-Denis, ancien relais de poste d'Ecouen, Hôtel du Grand Cerf",Eugène Atget,(French),1968,1960,France
16109,STAINS -- VIEILLE RUE,Eugène Atget,(French),1968,1960,France
16110,ST. OUEN. ANCIEN HÔTEL DE LA DUCHESSE DU CAYLA,Eugène Atget,(French),1968,1960,France
16111,ST. OUEN. RESTES D'UN ANCIEN PAVILLON DE CHASSE XVII SIÈCLE. DÉMOLI EN 1882,Eugène Atget,(French),1968,1960,France
16112,COURBEVOIE. ENTRÉE DES CASERNES DE LOUIS XV,Eugène Atget,(French),1968,1960,France
16113,ST. OUEN. PLACE D'ARMES,Eugène Atget,(French),1968,1960,France
16114,Tuileries (vase),Eugène Atget,(French),1968,1960,France
16115,"Villejuif, ancien château des comtes de Saint-Roman",Eugène Atget,(French),1968,1960,France
16116,Tuileries - Agrippine / d'apres l'antique,Eugène Atget,(French),1968,1960,France
16117,"Versailles, vase par Ballin",Eugène Atget,(French),1968,1960,France
16118,VILLEJUIF. UN COIN - RUINE DE L'ANCIEN CHÂTEAU DU COMTE DE ST. ROMAN,Eugène Atget,(French),1968,1960,France
16119,"Château de Gaillon, École des Beaux-Arts",Eugène Atget,(French),1968,1960,France
16120,VILLEJUIF. ANCIEN SEMINAIRE. MAIRIE,Eugène Atget,(French),1968,1960,France
16121,"Villejuif, vielle Rue",Eugène Atget,(French),1968,1960,France
16122,"Maison de Béranger, rue de Bagneux, Châtillon",Eugène Atget,(French),1968,1960,France
16123,Châtillon. Impasse Samson,Eugène Atget,(French),1968,1960,France
16124,JUVISY -- FONTAINE,Eugène Atget,(French),1968,1960,France
16125,STAINS. CHEMIN DE L'ÉGLISE,Eugène Atget,(French),1968,1960,France
16126,JUVISY -- FONTAINE,Eugène Atget,(French),1968,1960,France
16127,JUVISY. LES BELLES FONTAINES,Eugène Atget,(French),1968,1960,France
16128,VERSAILLES -- PARC,Eugène Atget,(French),1968,1960,France
16129,TOMBE DE L'ACTEUR MOLÉ À ANTONY,Eugène Atget,(French),1968,1960,France
16130,"Pontoise, place du Grand-Martroy",Eugène Atget,(French),1968,1960,France
16131,"Pontoise, Ancien Palais du Tribunal (Musée)",Eugène Atget,(French),1968,1960,France
16132,Rue du Jour,Eugène Atget,(French),1968,1960,France
16133,"Pontoise, ancien Hôtel du tribunal (Musée)",Eugène Atget,(French),1968,1960,France
16134,"Pontoise, Palais du Tribunal (Musée)",Eugène Atget,(French),1968,1960,France
16135,Bords de Marne,Eugène Atget,(French),1968,1960,France
16136,LE PERREUX. COIN DE MARNE,Eugène Atget,(French),1968,1960,France
16137,Bords de Marne,Eugène Atget,(French),1968,1960,France
16138,Bords de Marne,Eugène Atget,(French),1968,1960,France
16139,VERSAILLES -- LE CHÂTEAU,Eugène Atget,(French),1968,1960,France
16140,ST. MÉDARD,Eugène Atget,(French),1968,1960,France
16141,Étampes. Maison de Diane de Poitiers,Eugène Atget,(French),1968,1960,France
16142,HOUDAN. MAISON 39 RUE DE PARIS,Eugène Atget,(French),1968,1960,France
16143,ÉTAMPES. MAISON D'ANNE DE PISSELEU,Eugène Atget,(French),1968,1960,France
16144,HOUDAN. 66 RUE DE PARIS,Eugène Atget,(French),1968,1960,France
16145,HOUDAN. MAISON 66 RUE DE PARIS,Eugène Atget,(French),1968,1960,France
16146,MONTFORT L'AMAURY. RUINES,Eugène Atget,(French),1968,1960,France
16147,MANTES -- VIEILLE MAISON,Eugène Atget,(French),1968,1960,France
16148,MAISON À FONTENAY,Eugène Atget,(French),1968,1960,France
16149,PLESSIS PIQUET. CABARET DU COUP DU MILIEU,Eugène Atget,(French),1968,1960,France
16150,Versailles. Porte Rue Gambetta,Eugène Atget,(French),1968,1960,France
16151,MAISON À CHATILLON,Eugène Atget,(French),1968,1960,France
16152,"Charenton, vieux moulin",Eugène Atget,(French),1968,1960,France
16153,Charenton,Eugène Atget,(French),1968,1960,France
16154,"Juvisy, Belles Fontaines, mascaron",Eugène Atget,(French),1968,1960,France
16155,"GENTILLY (SEINE). COUR, VIEILLE FERME. 3 RUE DES NOYERS",Eugène Atget,(French),1968,1960,France
16156,GENTILLY. VIEILLE FERME. 3 RUE DES NOYERS,Eugène Atget,(French),1968,1960,France
16157,VANVES -- COIN DE FERME,Eugène Atget,(French),1968,1960,France
16158,"Vanves, rue du Chariot",Eugène Atget,(French),1968,1960,France
16159,"Vanves, rue du Chariot",Eugène Atget,(French),1968,1960,France
16160,"Vanves, vieille rue",Eugène Atget,(French),1968,1960,France
16161,Versailles -- Petite fontaine. Dans la cour de marbre,Eugène Atget,(French),1968,1960,France
16162,"Juvisy, Pont des Belles Fontaines",Eugène Atget,(French),1968,1960,France
16163,VITRY -- ANCIEN CHÂTEAU,Eugène Atget,(French),1968,1960,France
16164,CLAMART -- VIEILLE RUE,Eugène Atget,(French),1968,1960,France
16165,VANVES -- VIEILLE FERME,Eugène Atget,(French),1968,1960,France
16166,VANVES,Eugène Atget,(French),1968,1960,France
16167,"Jouy-en-Josas, église",Eugène Atget,(French),1968,1960,France
16168,PROVINS. VIEILLE FONTAINE,Eugène Atget,(French),1968,1960,France
16169,PROVINS (MAISON),Eugène Atget,(French),1968,1960,France
16170,PROVINS -- VIEILLE MAISON,Eugène Atget,(French),1968,1960,France
16171,COMPIÈGNE. VIEILLE MAISON,Eugène Atget,(French),1968,1960,France
16172,Versailles -- Petite fontaine. Dans la cour de marbre,Eugène Atget,(French),1968,1960,France
16173,ÉTAMPES. MAISON D'ANNE DE PISSELEU,Eugène Atget,(French),1968,1960,France
16174,Antony -- Entrée du Village,Eugène Atget,(French),1968,1960,France
16175,"Châtillon, cour, rue de la Gare",Eugène Atget,(French),1968,1960,France
16176,Clamart (vieille maison),Eugène Atget,(French),1968,1960,France
16177,VERRIÈRES -- VIEUX LOGIS,Eugène Atget,(French),1968,1960,France
16178,COMPIÈGNE. MAISON RUE DES LOMBARDS,Eugène Atget,(French),1968,1960,France
16179,ÉTAMPES. PETIT PORCHE HÔTEL DIEU,Eugène Atget,(French),1968,1960,France
16180,Entrée du Village de Cachan,Eugène Atget,(French),1968,1960,France
16181,FERTE ALAIS. ÉTANG,Eugène Atget,(French),1968,1960,France
16182,"La Rochelle, Hôtel de Ville",Eugène Atget,(French),1968,1960,France
16183,Trianon,Eugène Atget,(French),1968,1960,France
16184,Grand Trianon -- Le Buffet,Eugène Atget,(French),1968,1960,France
16185,LA ROCHELLE. MAISON HENRI II,Eugène Atget,(French),1968,1960,France
16186,"Entrée pittoresque, Châtillon",Eugène Atget,(French),1968,1960,France
16187,FONTAINE (TOURS). INDRE ET LOIRE,Eugène Atget,(French),1968,1960,France
16188,Port Solférino,Eugène Atget,(French),1968,1960,France
16189,RUE EAU DE ROBEC. ROUEN,Eugène Atget,(French),1968,1960,France
16190,Auvers (vieille maison),Eugène Atget,(French),1968,1960,France
16191,Blés,Eugène Atget,(French),1968,1960,France
16192,HÔTEL DE SENS. RUE DU FIGUIER. ESCALIER,Eugène Atget,(French),1968,1960,France
16193,CALVAIRE. ENVIRONS DE LA ROCHELLE,Eugène Atget,(French),1968,1960,France
16194,PASSY -- RUE BERTON,Eugène Atget,(French),1968,1960,France
16195,TRIANON -- LE BUFFET,Eugène Atget,(French),1968,1960,France
16196,VIEILLE FERME. RUE ST. JACQUES 262. (WELL),Eugène Atget,(French),1968,1960,France
16197,Arcueil-Cachan. Parc Provigny. Chapelle,Eugène Atget,(French),1968,1960,France
16198,GENTILLY -- BIÈVRE,Eugène Atget,(French),1968,1960,France
16199,"La Bièvre, Gentilly",Eugène Atget,(French),1968,1960,France
16200,"La Bièvre, Gentilly",Eugène Atget,(French),1968,1960,France
16201,Étampes. Maison de Diane de Poitiers,Eugène Atget,(French),1968,1960,France
16202,Étampes. Maison de Diane de Poitiers,Eugène Atget,(French),1968,1960,France
16203,Étampes. Maison de Diane de Poitiers,Eugène Atget,(French),1968,1960,France
16204,Étampes. Maison de Diane de Poitiers,Eugène Atget,(French),1968,1960,France
16205,Étampes. Maison de Diane de Poitiers,Eugène Atget,(French),1968,1960,France
16206,Grand Trianon,Eugène Atget,(French),1968,1960,France
16207,Étampes. Maison de Diane de Poitiers,Eugène Atget,(French),1968,1960,France
16208,ISSY -- ANCIEN CHÂTEAU,Eugène Atget,(French),1968,1960,France
16209,FONTAINE DE MARS. RUE ST.-DOMINIQUE,Eugène Atget,(French),1968,1960,France
16210,VANVES -- VIEILLE RUE,Eugène Atget,(French),1968,1960,France
16211,"Vanves, un coin du Vieux-Vanves",Eugène Atget,(French),1968,1960,France
16212,"Vanves, vieille rue",Eugène Atget,(French),1968,1960,France
16213,Villeneuve-l'Étang,Eugène Atget,(French),1968,1960,France
16214,COMMISSAIRE DE POLICE DU MARCHÉ AUX CHEVAUX SOUS LOUIS XV,Eugène Atget,(French),1968,1960,France
16215,IMPASSE DES HAUTS MARIAGES,Eugène Atget,(French),1968,1960,France
16216,MONTFORT L'AMAURY. PORTE DE CLOÎTRE,Eugène Atget,(French),1968,1960,France
16217,"Grand  Trianon, escalier",Eugène Atget,(French),1968,1960,France
16218,ÉTAMPES. ÉGLISE ST. BASILE,Eugène Atget,(French),1968,1960,France
16219,ÉTAMPES. NÔTRE DAME DU FORT,Eugène Atget,(French),1968,1960,France
16220,"Meudon, Ancien château",Eugène Atget,(French),1968,1960,France
16221,Vaux-de-Cernay. Grille du Château,Eugène Atget,(French),1968,1960,France
16222,VIARMES (CHÂTEAU),Eugène Atget,(French),1968,1960,France
16223,Boissy-Saint-Léger. Château de Gros Bois,Eugène Atget,(French),1968,1960,France
16224,Brevannes (ancien château),Eugène Atget,(French),1968,1960,France
16225,CHATOU (CHÂTEAU),Eugène Atget,(French),1968,1960,France
16226,ECURIES DU CHÂTEAU DE BERCY. 109 RUE DU PETIT CHÂTEAU. CHARENTON,Eugène Atget,(French),1968,1960,France
16227,Ancien Chateau de Marly-Le-Roi,Eugène Atget,(French),1968,1960,France
16228,Grand Trianon,Eugène Atget,(French),1968,1960,France
16229,MARLY-LE-ROI. ANCIEN CHÂTEAU,Eugène Atget,(French),1968,1960,France
16230,ECURIES DU CHÂTEAU DE BERCY. CHARENTON,Eugène Atget,(French),1968,1960,France
16231,ECURIES DU CHÂTEAU DE BERCY. CHARENTON,Eugène Atget,(French),1968,1960,France
